"DESCRIPTION"	"SKILL"	"SKILL_ACTIVE"
"EXT FUSELAGE SKIN STA 887 STR 26L-26R CO"	"STR,WSNC,WSPT"	"STR"
"RH WING FIXED FAIRING #8 ERODED"	"WSPT,WSSR,WSST"	"WSPT"
"BRACKET FLASH LIGHT FWD ATTD & AFT RH BR"	"CBN"	"EA"
"AFT CARGO SIDE FLOOR R/H UPPER #5 FORMER INPROPER REPAIR"	"WSSR"	"WSSR"
"STRAP LIFE VEST AFT RH ATTD SEAT MISSING"	"CBN"	"EA"
"ALL ESCAPE SLIDE COVER PAINT DISCOLORATI"	"CBN,WSCN,WSSS"	"EA"
"REF CML HIL SEQ-C92 SPRING FROM DOOR WAS"	"CBN"	"EA"
"ARMCAP SEAT 34G,35F WERE CRACK."	"CBN,WSSS"	"CBN"
"TRIM FAIRING SEAT 8H CRACK"	"CBN,WSSE"	"EA"
"C-CLASS SEAT DIVIDER 6AC,9AC,11AC,11DG,9"	"WSSS"	"WSSS"
"REF CML SEQ 47 AIRBAG SEAT ASSY POS 21A"	"WSSE"	"EA"
"FAIRING ASSY-FWD RH FIXED FLAP TRACK #3 632AB EROSION"	"WSPT,WSSR"	"WSPT"
"CEILING LIGHT POST BUNKER CREW REST NOT ILLUMINATE"	"CBN"	"CBN"
"SEAL DOOR LAV. LOOSE LAV. DC22"	"CBN"	"CBN"
"SIDE FAIRING ALL C-CLASS SEAT WERE DISCO"	"CBN,WSSS"	"CBN"
"AFT RH ADN LH DOOR GIRTBAR BLANK PANEL HEAVY CORROTION"	"CBN"	"CBN"
"AFT RH ATTD SEAT PAINT DISCOLORATION"	"CBN,WSSS"	"CBN"
"VERSTAB SKIN PANEL HOIST POINT COVER NOT INSTALLED 10 EA"	"AP"	"AP"
"FWD CARGO UNDER FLOOR HAS SOME RIVETS CORROSION BETWEEN FR 33 & FR37.1"	"STR"	"STR"
"FUEL LEAK BEETWEN ENG#3 AND RH BODY LANDING GEAR"	"AP"	"AP"
"LH MLG AXLE SLEEVE #1 TRANDUCER FOUND CORROSION"	"AP,EA"	"AP"
"LESSOR FINDING - FWD CABIN/GALLEY AREA C"	"CBN"	"CBN"
"ENG#2 INLET COWL STRIP WEAR DAMAGE POS 07.00 O'CLOCK"	"AP"	"AP"
"NLG DATA PLATE TORN"	"AP,WSPT"	"AP"
"ENG #1 I/B T/R SLEAVE UPPER FAIRING FOUN"	"AP,STR"	"AP"
"SEAL AT PANEL 673 AB TORN"	"AP"	"AP"
"FWD ENTRY DOOR HINGE COVER NEED ADJUSTMENT"	"CBN"	"CBN"
"NOSE GEAR RH O/B USE CORRECT PIN TORN"	"AP,WSPT"	"AP"
"LH BODY GEAR O/B STRUT DOOR FWD SEAL STR"	"AP"	"AP"
"ENG #2 LH T/R POST 12.00 O''CLOCK INNER"	"WSPT,WSST"	"WSPT"
"RH WING V/C NO. 21 O/B SIDE RUBBER SEAL"	"AP"	"AP"
"RH BODY GEAR W/W I/B DOOR HINGE BONDING"	"EA"	"EA"
"RH WING REFUELING LANYARD CAP NOT PROPER"	"AP"	"AP"
"FLOOR SUPPORT FR 67 TO FWD AT -Y 563 CORROSION"	"AP,STR"	"AP"
"FWD CARGO DOOR AFT POS UPPER CORNER DEPRESSURE SEAL BEND"	"CBN,STR,WSPT"	"CBN"
"ESCAPE SLIDE RAFT POST.2L PN:7A1479-13 W"	"CBN"	"CBN"
"RH WING UPPER SURFACE RIVET HEAD BROKEN"	"STR"	"STR"
"LH WING I/B AFT FLAP ACCORDION TEAR OFF"	"AP"	"AP"
"LH WING I/B MID FLAP L.E SKIN DELAMINATI"	"WSPT,WSST"	"WSPT"
"PANEL 191AR LATCH STUCK MOVEMENT 1 EA"	"AP"	"AP"
"RIGHT WING AFT PYLON COLAR BROKEN 1EA"	"STR"	"EA"
"EXTERNAL FUSELAGE SKIN BTW FR 57-59 STGR 28LH-29LH EX BLEND OUT NOTINCLUDE ONDB CHART"	"STR,WSNC,WSPT"	"STR"
"AFT LH ATTD SEAT PEEL OFF"	"CBN,WSSS"	"CBN"
"CUP HOLDER FOR 4TH OCCUPANT SEAT BROKEN"	"CBN"	"CBN"
"FRAME CB PANEL FOUND LAMINATE BAD CONDITION AT REAR INSIDE COCKPIT DOOR"	"WSCN"	"WSCN"
"LH ENG ABRADABLE SHROUD HAS ROUGHT"	"WSSR"	"WSSR"
"Lightening strike damage at Skin and rIvet just near the forward cargo after cutout at Stgr 24R (FINDING LESSOR)"	"STR,WSNC"	"STR"
"Lightening Strike Damage at skin, Sta 38"	"STR,WSNC"	"STR"
"Lightening Strike Damage at Skin, Sta 82"	"STR,WSNC"	"STR"
"Skin scratch at Sta 460 + 13"", Stgr 14L"	"STR,WSNC"	"STR"
"AFT CARGO COMPARTMENT ANGLE BRACKET SUPP"	"STR"	"STR"
"ENGINE #2 FAN BLADE #31 TAKEN FOR SERVICE PK-GLM"	"AP"	"AP"
"ENGINE #2 FAN BLADE #33 TAKEN FOR SERVICE PK-GLM"	"AP"	"AP"
"METAL TRIM ENTERANCE COCKPIT PAINT DISCO"	"WSSS"	"WSSS"
"ALL LAV A, E,D ,G NTF NEED TO BE REPLACE"	"CBN"	"CBN"
"ALL DOOR ANTI SLIP /SAFETY WALK ERODED"	"CBN"	"CBN"
"SETPIN SNUBBER DOOR LAV NOT INSTALL 5EA"	"CBN"	"CBN"
"WASTE CONTAINER BOX NOT PROPER AT L54, L"	"CBN,NA"	"CBN"
"NUT ASSIST HANDLE FLIGHTDECK LH - RH WAS"	"CBN"	"CBN"
"RH FUSELAGE FR 29 - 30 STR 39 - 40 SKIN"	"STR,WSPT"	"STR"
"WALL INSIDE ALL GALLEY 4 PAINT PEEL OFF"	"WSCN"	"WSCN"
"LH FUSELAGE FR 31 - 32 STR 43 - 44 SKIN"	"STR,WSPT"	"STR"
"CHECK VALVE FLAPPER NEAR TURBO FAN BROKE"	"EA"	"EA"
"ALL CENTER LIGHT COVERS OF CTR LUGGAGE BIN WERE PAINT PAINT DISCOLOURATION."	"CBN,WSCB,WSSS"	"CBN"
"FWD BELLY FAIRING 195 BB TEFLON BROKEN"	"AP"	"AP"
"FOAM ON FAN HEATER WAS DAMAGE (431 HC)"	"EA"	"EA"
"LH WING CLOSE OUT PANEL HAS CHAFED"	"AP,WSNC,WSPT,WSSR"	"AP"
"LAMINATE POSITION COATROOM 1RH WERE PEEL"	"WSCB"	"WSCB"
"LH LOWER FUSELAGE SKIN SEVERAL LIGHTNING"	"AP,NA,STR,WSNC,WSPT"	"AP"
"#1 Eng RH TR : RH TR Rub strip worn out"	"AP,WSPT,WSSR"	"AP"
"Wet area - aft : Deep cleaning required"	"CBN"	"CBN"
"ENG #2 RH TR : INNER SURFACE TE AREA IS"	"AP,WSNC,WSPT,WSSR"	"AP"
"AOA SENSOR - LH - LE EROSION [LESSOR FIN"	"EA"	"EA"
"APU compt - Bonding jumper at forward hi"	"EA"	"EA"
"NEED CLEANING FOR GPWC"	"EA"	"EA"
"ENG#2 INLET COWL ACCOUSTIC PANEL WAS DEN"	"WSNC,WSPT,WSSR"	"WSNC"
"RH OUTLET SWING PANEL NEED REPAINT"	"WSPT"	"WSPT"
"AREA AROUNG MLG NEED REPAINT"	"WSPT"	"WSPT"
"Cargo - Aft : Numerous fastener heads are surface protection missing andcorrosion suspecious at Sta 907 - 947.5, Stgr 26L - 26R"	"STR,WSPT"	"STR"
"LEFT HAND PRIMARY HE PLENUM WAS BROKEN"	"EA,WSPT,WSSR"	"EA"
"Nose L/G & Wheel well : Bonding wire at Nose L/G door to airframe has differenttype. To be evaluated and corrected"	"EA"	"EA"
"RH Wing - Fuel wing tank access cutout a"	"NA,STR,WSNC"	"NA"
"L/H MLG PRESSURE AND RETURN FLEXIBLE HOS"	"NA"	"NA"
"GREEN HP MANIFOLD 5103JM FOUND BLACK DEP"	"AP"	"AP"
"FWD CARGO SOUND PROOFING FR 40 NO. 130 HAS BROKEN"	"AP,WSCB,WSCN"	"AP"
"LH WING GROUND SPOILER NO 2 UPPER SURFACE MULTIPLE DENT"	"WSNC,WSPT,WSSR"	
"L/H WING NAV LIGHT LENS COVER BLURRED"	"EA,WSAV"	"GAH407E1"
"LAV E LSU PANEL CRACK AREA REPAIR & DECO PAINT"	"CBN,WSCB,WSCN,WSSS"	
"G#2 RETAINER FACE KICKSTRIP POST AISLE FOUND BAD CONDITION"	"CBN"	
"AFT RH ATTD SEAT BUMPER STRIP IMPROPER INSTALL"	"CBN"	
"BAGGAGE BAR SCREW FOUND MISSING POST 27 DEF"	"WSSE"	"GAH407C1"
"L/E VERSTAB FOUND ERRODED"	"AP,WSPT,WSSR"	
"FWD CEILLING PANEL LAMINATED PEEL OFF"	"CBN,WSCB"	
"Side wall panel - 1RH - Shade holder mis"	"CBN"	"CBN"
"Side wall panel - 13RH - PMA Shade(Fwd/A"	"CBN"	"CBN"
"Side wall panel - 19LH - Shade holder missing(Fwd & AFT)"	"CBN"	"CBN"
"RADIO TUNNING PANEL - VHF COMM #2 CAN''T"	"EA"	"EA"
"#1 Intake Cowl : Intake cowling outer ba"	"WSPT"	"WSPT"
"Aft pressure bulkhead compt : heavy contamination and very dirty to compartmentbetween Sta 1088 - 1156 and on mid deck"	"AP"	"AP"
"STATIC DISCHARGE TYPE B AT CANOE 2 LH WI"	"EA"	"EA"
"LEFT AND RIGHT INBOARD MAIN FLAP PAINT P"	"WSPT"	"WSPT"
"FLAP FAIRING #7 FIX CANOE ERODED"	"WSPT,WSSR"	
"POIL-131: CAPTS SUN VISOR IS IN POOR CONDITION"	"CBN"	"GAH407C1"
"SOME OF CEILLING NIGHT LIGHT NOT ILL"	"CBN"	
"POIL-168: THE OTBD FAN COWL UPPER AND AFT (UPPER AREA) ARE WORN"	"AP,WSSR"	
"POIL-197: LH WING INBD AFT FLAP HAS NUMEROUS NICKS AND DENTS ON THE LOWER SURFACE, REQUIRES PAINT STRIP FOR PROPER EVAULATION, MAPING AND REPAIR"	"WSNC,WSPT,WSSR"	
"(FINDING LESSOR) AFT SERVICE DOOR UPPER FWD HOOK CHAFED"	"CBN,NA,STR,WSNC,WSWB"	
"COCKPIT DOOR ARRESTER MAGNETIC WAS BROKE"	"CBN"	"CBN"
"REFF TECHLOG 08705 : TCAS FAULT"	"EA"	"EA"
"FWD CABIN FLOOR UNDER GALLEY #7 ( FWD A3 ) DAMAGE PN: 141A5810 - 181"	"CBN,NA,WSSR"	
"POIL-370 : 231TF (6A) CABIN FLOOR WAS DENT AND EDGE DAMAGE PN : 143A5810- 100
"	"CBN,WSSR"	
"POIL-330 : 241BF CABIN FLOOR 9B FOUND DENT PN : 144A5810 - 132"	"CBN,WSSR"	
"POIL-340 : 241HF CABIN FLOOR 11B FOUND DENT AND EDGE DAMAGE PN :146A5810 - 108"	"CBN,WSSR"	
"CABIN FLOOR AFT LH LAVATORY (AFT 17A) DAMAGE PN:147A5810-344"	"CBN,WSSR"	
"POIL-360 : 241WF (15A) CABIN FLOOR WAS DENT PN : 146A5810 - 16"	"CBN,WSSR"	
"LESSOR FINDINGLOC. FUSELAGELESSOR COMMENT : INSPECT RECTIFYUPPER FUSE GPS1 AND 2 ANTENNA HAS SIGNS OF EROSION AND BASE SEALANT ISPOOR"	"EA,STR"	"EA"
"VERSTAB L/E HOLE FASTENERS ERODED FIN STA.102 TO FIN STA.343"	"WSNC,WSPT,WSSR"	
"CHILLER OF GALLEY #1 WAS FAULT DURING OP"	"CBN"	"CBN"
"RH HORSTAB ACCESS PANEL 343 FB NEED NEW GASKET"	"AP,EA"	"AP"
"DURING OPC MANUAL BLEED SHUT OFF INDICAT"	"EA"	"EA"
"FWD CARGO COMPARTMENT 1EA CONNECTOR CORR"	"EA"	"EA"
"(FINDING LESSOR) EXT FUS SKIN BTW STA 727H-727I STR 25L-26L NICK 5 EA"	"STR,WSNC,WSPT"	"W403"
"FWD cargo door : Cargo door interiors need deep cleaning due to heavy contamination"	"AP"	"AP"
"Existing blend out repair at Sta 500-500A, Stgr 21R-22R to be reevalauted. To confirm whether any scratch is removed and reevaluate the repair by way of remeasu"	"STR"	"STR"
"LH WING O/B FLAP UPPER SURFACE RUBBING STRAP DISBONDING"	"WSPT,WSST"	"WSPT"
"BATTERY PACKS NEED DEEP CYCLE CHARGES"	"CBN"	
"ENG #1 FILTER OF THERMOSTAT THS THREAD WAS BROKEN"	"AP"	"AP"
"LH AC BAY AFT BOTTOM H/E LIPS WERE SCRAT"	"STR,WSNC"	"STR"
"OZONE CONVERTER INSULATION BLANKET PACK"	"EA"	"EA"
"CONTROL BOX FAIRING CRACK POST. 2H, 2C,"	"CBN,WSSS"	"CBN"
"RH UPPER ENG.PRECOLER PANEL WAS MULTYPLE"	"AP,WSNC,WSSR,WSST"	"AP"
"FWD CARGO SOUND PROOF BETWEEN FR 25 AND"	"AP,WSCN"	"AP"
"LH AFT MLG BAY REAR PANEL SEAL BROKEN"	"AP"	"AP"
"SEAL SPANWISE AT LEADING EDGE FLAP NO# 1"	"AP"	"AP"
"FWD CARGO FLOOR 131HF PUNCTURE"	"AP,WSSR"	"AP"
"RH WING FIX FAIRING #3 WAS ERROTION"	"WSPT"	"WSPT"
"ALL OF LUGGAGE DOOR POST INSIDE/OUT SIDE"	"CBN,WSCB,WSSS"	"CBN"
"ENG #1 PRIMARY NOZZLE ASSEMBLY HAS CRACK"	"AP,NDT,Repair Eng/APU Welding"	"EA"
"AFT LH ATTENDANT SEAT PAINT DISCOLORATIO"	"CBN,WSSS"	"EA"
"SEVERAL CKPT PANEL UPPER AND LOWER SIDE"	"CBN,WSCN,WSSS"	"CBN"
"RH WING SLAT PANEL STUD AND RECEPTEACLE BAD CONDITION 40 EA"	"AP"	"AP"
"AFT CARGO SIDEWALL 152HW DELAMINATION"	"AP,WSPT,WSSR"	"AP"
"AFT CARGO RH SHORT SIDEPLATE BTW 794.3-8"	"STR"	"EA"
"YELLOW HYD BAY PANEL 196BB LIP SEAL TORN"	"AP"	"AP"
"FUSELAGE SKIN AT AFT SIDE AREA OF AFT EN"	"NA,STR,Wheel Break,WSNC,WSPT,WSST"	"NA"
"NLG WHEEL WELL BAY FWD SIDE RUBBER SEAL TEAR OFF"	"AP"	"AP"
"FWD CARGO FLOOR PANEL 131GG HAS DELAMINATION"	"WSPT,WSST"	"WSPT"
"BULK CARGO DOOR TEFLON STOPPER BROKEN"	"AP"	"AP"
"AFT CARGO SIDEWALL 151 TW FOUND PUNCTURE"	"AP,WSPT,WSST"	"AP"
"AFT CARGO SIDEWALL 151 SW DELAMINATION"	"AP,WSPT,WSST"	"AP"
"AFT CARGO SIDEWALL 151 QW DELAMINATION"	"AP,WSPT,WSST"	"AP"
"REF CML SEQ 34 VSEB COVER TAKEN FOR PK-G"	"CBN"	"EA"
"EXTERNAL FUSELAGE SKIN BTW STA 500F-500G"	"CBN,STR,WSNC"	"EA"
"EXTERNAL FUSELAGE SKIN BTW STA 500H-500I"	"CBN,STR,WSNC"	"EA"
"G#5 :534 AND 537 (2EA) FITTING RETAINER"	"CBN,WSST"	"CBN"
"AFT CARGO FILLER SEAL (SECTION HOSE)FLOO"	"AP"	"AP"
"RH WING TANK PANEL 642 AB O-RING AND GASKET WAS TEAR OFF"	"AP,STR"	"AP"
"PORT C OF EMERGENCY VALVE 5403 GG FOUND BLACK DEPOSIT"	"AP"	"AP"
"FWD CARGO DOOR OPERATION PANEL 122 CR FO"	"EA"	"EA"
"RH ENGINE ALL FAN BLADE WERE EROTION"	"Repair Eng/APU Miscellaneous Repair,WSNC"	"Repair Eng/APU Miscellaneous Repair"
"RH MLG W/W LOWER PANEL WAS CHAFFING"	"WSPT,WSSR"	"WSPT"
"LENS COVER LAV D DIRTY"	"WSCB"	"WSCB"
"LH/RH I/B LOWER SIDE FLAP PAINT EROSION"	"WSPT"	"EA"
"ALL INSERT NUT DRIMPLE ENTRY DOOR LAV D"	"WSCB"	"WSCB"
"ALL INSERT NUT & SCREW PAN FLOOR ATTACHM"	"WSCB"	"WSCB"
"LH MLG DOOR FOUND DENT NEAR STOPPER BRAC"	"AP,STR"	"AP"
"LH WING FUEL PUMP FAIRING SCREW AND CLIP"	"EA"	"EA"
"BULK CARGO FLOOR PANEL 161 EF PUNCTURE"	"AP,WSPT,WSST"	"AP"
"AFT CARGO SIDEWALL 151 HW NICK"	"AP,WSPT,WSST"	"AP"
"DOOR SILL PAINT PEEL OFF POSITION DOOR 4"	"CBN,WSPT"	"CBN"
"PRINTER PAPER EMPTY"	"EA"	"EA"
"FILTER HOUSING HAS DIRTY AT AFT CARGO (5"	"EA"	"EA"
"AFT CARGO FLOOR PANEL 151 NF DELAMINATIO"	"AP,WSPT,WSST"	"AP"
"LH ENG CNA P/N 745-1101-507 NOT COMPLETE"	"AP"	"AP"
"LH ENG PRV SENSE LINE P/N D0003014900000"	"AP"	"AP"
"RH WING UNDERWING TANK ACCESS PANEL 642A"	"AP"	"AP"
"MLG SEL VLV FOUND BLACK DEPOSIT FROM POR"	"AP"	"AP"
"LH WING SLAT #1 TRACK #1 BRACKET COVER F"	"STR"	"STR"
"INTEGRAL LT PANEL KNOB PAINT PEEL OFF"	"EA,WSPT"	"EA"
"CDD - ARM REST LEATHER TORN"	"CBN"	"CBN"
"AFT CARGO COMP FLOOR BEAM FR 63 FOUND CO"	"STR,WSPT"	"STR"
"ALL CREW OXYGEN MASKS DIRTY"	"CBN"	"CBN"
"AFT CARGO DOOR HANDLE PANEL SCREW STUCK"	"STR"	"STR"
"RECIRCULATION FILTER AT FWD CARGO COMP D"	"EA"	"EA"
"COVER CRASH AXE AT GALLEY 4L07 NOT PROPE"	"CBN"	"CBN"
"ENG 2 LH FAN COWL PAINT PEEL OFF"	"WSPT"	"WSPT"
"ALL LATCH GALLEY DIRTY"	"CBN,WSCB"	"CBN"
"UNDER WATER HEATER CORROSION AT G1, G4R,"	"WSCB"	"WSCB"
"CEILING LIGHT NOT COME ON POSTION 18D,1D"	"CBN"	"CBN"
"WASTE SERVICE PANEL BONDING BROKEN"	"EA"	"EA"
"STATIC DISCHARGER TYPE A BROKEN 2EA (RH"	"EA"	"EA"
"STRIP INFO LAVATORY L11 CRACK (A4-254005"	"CBN"	"CBN"
"ALL SLIDING TABLE GALLEY DISCOLORATION"	"CBN,WSCB"	"CBN"
"FUSELAGE SKIN FR 74-75 STR 41L CORROSION"	"NA,STR,WSNC,WSPT,WSST"	"NA"
"APU FIREX INDICATOR RED MARK DISC BLUR"	"WSPT"	"WSPT"
"ENG #2 LH T/R ANGLE BRACKET CRACK NEAR L"	"WSNC,WSST"	"WSNC"
"ENG #1 CNA RUBBER SEAL TORN AT UPPER LH"	"STR"	"STR"
"BONDING JUMPER BROKEN AT ACCESS PANEL 19"	"EA"	"EA"
"AFT CARGO ROLLER TRACK #7 CORRORDED"	"AP,NA,STR"	"AP"
"11 EA CONTROL PANEL KNOB NEED TOUCH UP"	"WSPT"	"WSPT"
"REQUIRES PAINT TOUCH UP OF FWD & AFT CAR"	"WSPT"	"WSPT"
"G5 COVER PLATE ADJACENT TO MANUAL DRAIN"	"CBN"	"CBN"
"ILLEGIBLE DATA PLATE ON NLG LH & RH MAIN"	"WSPT"	"WSPT"
"WXR#2 FAIL ON TEST"	"EA"	"EA"
"DOOR LINING 2LH PAINT PEEL OFF 832EZ, 83"	"WSCB,WSSS"	"WSCB"
"BLUE RESERVOIR DRAIN VALVE DATA PLATE FO"	"WSPT"	"WSPT"
"PROTRUDING SCREWS ON LAV D & LAV E TOILE"	"CBN"	"CBN"
"YELLOW RESERVOIR DRAIN VLV CAP MISSING"	"AP"	"AP"
"STUD NOT PROPER INSTALL AT VCC"	"CBN"	"CBN"
"R/H WING SPOILER NO.1,2,3,4,5,6 UPER SUR"	"WSPT"	"WSPT"
"BONDING WIRE IN 2 PLACES ON RH HOR STABI"	"EA"	"EA"
"SEAT TRACK FROM STA 380 - 540 LBL 24.75"	"STR,WSNC"	"STR"
"SEAT TRACK FROM STA 727B - 887 LBL 45.50"	"STR,WSNC"	"STR"
"FWD CARGO SIGHT GLASS FOUND BLUR 6EA"	"AP"	"AP"
"ENG#1 RH FANCOWL AFT STOWING BRACKET WOR"	"NA,WSSR"	"NA"
"BONDING WIRE WITH MISSING SEALANT ON TWO"	"EA"	"EA"
"SEALANT ON FWD CARGO DOOR AFT ACTUATOR R"	"STR"	"STR"
"SOME SPARE BULB NOT COMPLETED"	"EA"	"EA"
"AFT CARGO ROLL TRACK # 23 CORROSION"	"AP,STR"	"AP"
"FWD CARGO FLOOR SCREW BROKEN 100EA"	"AP"	"AP"
"PANEL 192 KB PAINT PEEL OFF"	"WSPT"	"WSPT"
"RH WING SPOILER #8, #9 LOWER SURFACE PAI"	"WSPT"	"WSPT"
"RETAINING CABLE BROKEN 1 EA AT BETWEEN HEAT EXCHANGER AND PIPE ASSY"	"EA"	"EA"
"ALL LRU COMPUTER ON E/E COMPARTMET DIRTY"	"EA"	"EA"
"FWD RH CABIN DOOR AFT SIDE SCUFF PLATE WRINKLE"	"CBN,WSNC,WSPT,WSSR"	"CBN"
"LH WINGLET L/E TIP AREA PAINT PEEL OFF"	"WSPT"	"WSPT"
"RH RAM AIR EXHAUST FLEX HOSE NOT PROPPER"	"AP,EA"	"AP"
"FWD CARGO FLOOR #2 MULTIPLE DENT"	"AP,STR"	"AP"
"FWD CARGO FLOOR #4 MULTIPLE DENT"	"AP,STR"	"AP"
"FWD RH WINDSCREEN FRONT FACE WAS DENT"	"CBN,NA,WSCN"	"EA"
"MEAL TABLE HARD TO OPEN 27D"	"WSSS"	"EA"
"NOSE L/G STEERING COVER PLACARD FOUND BAD CONDITION"	"AP,WSPT"	"EA"
"AFT CARGO PDU WHEEL WORN OUT 3 EA"	"AP"	"EA"
"LH INB CNA FIRESEAL TEAR AT LWR POS"	"NA"	"AP"
"SEAT BELT FRAYING 22A, 26A, 37G, 36G, 35D, 34G, 40A, 40B, 41C, 42C, 42B,43C, 44C, 45C, 32A, 32B, 38A, 38B, 48A, 52H, 28K, 36H, 36J, 37J, 38H,"	"WSSS"	"EA"
"FWD CARGO COMPT PLATE NUTS AT TIE DOWN T"	"STR"	"STR"
"WE HAVE FOUND DENT ON LOWER FUSELAGE SKI"	"STR,WSNC"	"STR"
"PYLON #2 PANEL 464NR LIGHT CORROTION"	"AP,NA,WSNC,WSPT,WSST,WSWB"	"AP"
"LATCH TABLE CRACK,NOT PROPER INSTALL POS"	"CBN"	"CBN"
"LH WING SLAT PNL 522 CB EROSION"	"NA,WSNC,WSPT,WSST"	"NA"
"KICK STRIP GALLEY 338, 229 BROKEN"	"CBN"	"CBN"
