"DESCRIPTION","SKILL","SKILL_ACTIVE","TARGET"
"RH THS L/E TIPS PAINT EROSION","WSPT","WSPT","4"
"REF AML SEQ 05 - TRIM PRESS REG SHUT OFF","EA","EA","1"
"FWD CARGO SIDE FLOOR 131CF HAS PUNCTURE","AP,WSSR","AP","0"
"TAIL AREA UPPER RH SIDE STA 1156-1217 PA","WSPT","EA","1"
"FWD CARGO PLATE BTW FR 24A - 28 CORRODED","NA,STR,WSPT","NA","8"
"G#1 METAL TRIM COVER GALLEY POST LOWER D","CBN,WSCB,WSCN","CBN","2"
"RH INB FLAP LOWER POS.MULTIPLE DENT","WSNC,WSPT,WSSR","WSNC","7"
"RH WING UPPER AREA PAINT PEEL OFF BTW WS","WSPT","EA","1"
"G#1 STOW COMPT PAINT PEEL OFF, NEED REPA","WSCN,WSSS","WSCN","9"
"FWD CARGO FLLOR ANGLE SUPPORT 500i CORRO","STR","EA","1"
"FASTENERS 5 EA LOOSED AT HING OF ACCESS PANEL 149A FWD LOWER BELLY FAIRING","STR","STR","3"
"MID CABIN FR 37 - 37 -Y953 SEAT TRACK CORROSION","STR","STR","3"
"LH ELEVATOR BETWEEN RIB 7 AND RIB 8 SCREW NO. 24","WSPT,WSST","WSPT","4"
"WATER ING AT RH ELEVATOR BTW ER7 & ER6 SCREW NO 14","WSPT,WSST","WSPT","4"
"FWD BELLY FAIRING PANEL 192BB 28 EA SCREWS AND WASHERS DAMAGE","AP","AP","0"
"RH WING FRONT SPAR FWD FACE BETWEEN RIB 12 AND RIB 27 PAINT PEEL OFF ONFASTENERS","WSPT","WSPT","4"
"RH WING TANK PANEL FASTENER P/N NAS1790-5R12 BAD CONDITION 10EA","AP","AP","0"
"DAMPENER WEAK POST.2RH,3RH,AFT GALLEY RH","WSSS","WSSS","5"
"ATTD SEAT AFT GALLEY LH, DOOR HINGE WEAK","WSSS","WSSS","5"
"UPPER HALF GALLEY 6 LOWER WALL BROKE NO.15 AT LIST","WSCB","WSCB","9"
"R ENG ESN 697437 - INLET ACOUSTIC PANELS","AP","AP","0"
"HINGE CORROSION AT ACCESS PANEL 149 BB LOWER BELLY FAIRING FR 44","AP,STR","AP","0"
"ATTD SEAT 4 LH PAINT PEEL OFF","CBN,WSSS","CBN","2"
"ATTD SEAT 4 RH PAINT PEEL OFF","CBN,WSSS","CBN","2"
"WATER HEATER SIGN LEAK AND CORROSION LOW","CBN","CBN","2"
"LAV D OUTSIDE & INSIDE DOOR LAMINATE SCR","CBN,WSCB","CBN","2"
"RH HORSTAB L/E 331BB DENT","WSSR","WSSR","9"
"RH ELEVATOR HOIST POINT COVER BAD CONDIT","AP","AP","0"
"AFT CARGO DRAIN PAN BONDING NUT BROKEN 1","EA","EA","1"
"DOOR CABINET LAVATORY SCRATCH POS.L34,53","CBN,WSCB,WSSS","CBN","2"
"LH WING AERODINAMIC SEAL SLAT #2 INBOARD TORN","AP","AP","0"
"BELLY FAIRING 191KB PAINT EROSION 2 POIN","WSPT","WSPT","4"
"AFT CARGO FLOOR PANEL 151 SG DELAMINATIO","AP,WSPT,WSST","AP","0"
"BULK CARGO FLOOR PANEL 161 BF PUNCTURE","AP,WSPT,WSST","AP","0"
"MANIFOLD HP FILTER G 5102JM FOUND BLACK","AP","AP","0"
"ALL NTF GALLEY BAD CONDITION","CBN","CBN","2"
"PRESSURE SEAL TEAR OFF AT DOOR 1LH","CBN,STR,WSPT","CBN","2"
"SAFETY PIN ESCAPE SLIDE TEAR OFF AT DOOR","CBN","CBN","2"
"RH MLG FIX DOOR AFT UPPER HINGE NUT BROK","AP","AP","0"
"INTEGRAL LT PANEL KNOB PAINT PEEL OFF","EA,WSPT","EA","1"
"BUMPER SHROUD NOT INSTALL 20 EA","CBN","CBN","2"
"ENDCAP FOOTSTEP MISSING AND BROKEN FO CA","AP","AP","0"
"BOTTOM COVER THIRD OCCUPANT TEAR OFF","CBN","CBN","2"
"ENG#1 LH THRUST REVERSER BRACKET PCM FOUND CRACK","AP,WSST","AP","0"
"ENG#1 RH FAN COWL OIL FILLING ACCESS PAN","STR","STR","3"
"2 EA BONDING BROKEN AT LH ELEVATOR","EA","EA","1"
"ENG #2 OIL TUBE AFT BEARING HOUSING P/N","AP","AP","0"
"ENG#2 FAIRING PAINT PEEL OFF BETWEEN MAK","AP","AP","0"
"APU GEARBOX DRAIN FOUND LEAK","AP","AP","0"
"REAR BELLY FAIRING PANEL PLATE NUT DAMAG","STR","STR","3"
"RH FUSELAGE SKIN SCRATCH ABOVE BULK CARG","STR,WSNC,WSPT","STR","3"
"STATIC DISCHARGER TYPE A BROKEN 2EA (RH","EA","EA","1"
"ENG#1 IP BLEED CHECK VALVE ANTI ROTATION","AP","AP","0"
"STRIP INFO LAVATORY L82 TEAR OFF (A42540","CBN","CBN","2"
"BULK CARGO SIDEWALL 162 QW PUNCTURE","AP,WSPT,WSST","AP","0"
"LH UPPER WING FASTENER FOUND CORROSION","STR,WSPT,WSST","STR","3"
"APU FIREX INDICATOR RED MARK DISC BLUR","WSPT","WSPT","4"
"MLG AXLE SLEEVE #8 FOUND DAMAGE","AP","AP","0"
"VERTICAL STABILIZER L/E MID SECTION HOIS","WSST","WSST","9"
"LH MLG LOWER ARTICULATING LINK FOUND PAI","WSPT","WSPT","4"
"EXT F/L SKIN BTW FR 14-15 STR 36R-37R DE","STR,WSNC","STR","3"
"SCREW FOR INSTALLATION PAX WINDOW WERE M","CBN","CBN","2"
"FOUND PLATE CRACK AT AFT SIDE T/R O/B ENG#1","WSSR","WSSR","9"
"(LESSOR FINDING) Pax Seats L/H Row 23 B & C reclines stiff to operate and not returning to upright- repair","WSSE","WSSE","9"
"(LESSOR FINDING) Pax Seats L/H Row 25 A arm rest has old tape and glue residue -clean","WSSE","WSSE","9"
"(LESSOR FINDING) Pax Seats L/H Row 30 B no end cap assembly fitted - replace","WSSE","WSSE","9"
"OBSERVED OLD BLEND OUT AT UPPER FUSE AREA L/H SIDE BETWEEN FR # 68 AND FR # 69,STRG # 19 AND STRG # 20. (REFF DB #42)","STR,WSNC,WSPT","WSPT","4"
"F/O PITOT PROBE INSULATION BELOW STANDAR","EA","EA","1"
"LH WING WATER DRAIN VALVE FOUND DAMAGE 2","AP","AP","0"
"(LESSOR FINDING) Pax Seats R/H Row 25 E","WSSE","WSSE","9"
"ENG #2 ANNULUS FILLER#25 SEAL TEAR OFF","AP","AP","0"
"ECAM UPPER & LOWER DISPLAY KNOB PAINT PE","EA,WSPT","EA","1"
"CARGO AIR COND KNOB PAINT PEEL OFF 1EA","EA,WSPT","EA","1"
"BULK CARGO FLOOR NEED RESEALANT","STR","STR","3"
"FWD CABIN COMPARTMENT LH FLOOR BEAM STRUCTURE AT Y765-254 FR 16 CORRODED","STR","EA","1"
"LH WING - BOTH ACCESS PLATES 533 AR / AL","AP","AP","0"
"LH WING - FAIRING 533 AB LEADING EDGE S","AP,STR,WSPT,WSSR","AP","0"
"LH WING - TWO DENTS NOTED IN THE LH # 3","AP,WSNC,WSPT,WSSR,WSST","AP","0"
"LESSOR FINDING - WINDOW INNER PAN WAS SC","CBN","CBN","2"
"FINDING LESSOR - G5 FASTENER IN COMPT 52","CBN","CBN","2"
"LH ENGINE THE DRAIN MAST FAIRING ON THE","STR,WSNC,WSSR","STR","3"
"RH WING UPPER WING PLANK CORROSION BETWE","STR,WSNC,WSPT","STR","3"
"RH WING - THE INBD AND OTBD T/E SEALS AR","AP,STR","AP","0"
"RH WING - FLAP LOWER SKIN REPAIR IN AREA","WSSR","WSSR","9"
"RH AILERON MISSING 3 STATIC DISCHARGERS","EA,NA","EA","1"
"RH PYLON THE THREE SEGMENTS OF FIRE SEAL","AP","AP","0"
"DEU TYPE B (300RH6)PN:Z041H000240B TAKEN FOR PK-GPD",,,"9"
"BILGE DRAIN STA 947.5 CORROSION","AP,NA,STR,WSNC,WSPT","AP","0"
"PSU EXIT CEILING PANEL NEED PAINTING","EA,WSCB,WSSS","EA","1"
"BONDING AT POTABLE WATER SERVICE PANEL B","EA","EA","1"
"LH ENG I/B T/R PLACARD ""CAUTION"" TEAR OF","WSPT","WSPT","4"
"FO/P2 SEAT REAR SHROUD FOUND DAMAGED NEE","CBN,WSCN,WSSE,WSSS","CBN","2"
"AFT CARGO SIDEWALL 151 DW HAS DELAMINATI","AP,WSPT,WSSR","AP","0"
"LH PYLON THE HORIZONTAL FIRE SEAL ALONG","AP","AP","0"
"RH WING TO BODY FAIRING AFT W/W 193CR ER","WSPT,WSSR","EA","1"
"FWD CARGO SIDE WALL 131 HW HAS PUNCTURE","AP,WSPT,WSSR","AP","0"
"FWD CARGO FLOOR 131 AF PUNCTURE","AP,WSSR","AP","0"
"LH WING SPOILER #1 LOWER SURFACE PAINT P","WSPT","EA","1"
"CAPT/P1 SEAT REAR SHROUD FOUND DAMAGED N","CBN,WSCN,WSSE,WSSS","CBN","2"
"CARGO FIREX BOTTLE POS RH HAS EXPIRED","AP","EA","1"
"OVHD BIN DOOR PLACARD DISCOLOURATION NEE","CBN,WSPT","CBN","2"
"PLACARD ON SWIVEL ATTD SEAT BAD CONDITIO","CBN,WSPT,WSSS","CBN","2"
"DUCT CABIN TEMP SENSOR BRITTLE","EA","EA","1"
"COUPLING SELFLOCKING NUT AT LH HEAT EXCH","EA","EA","1"
"RH WING TOP SKIN UPPER SURFACE AT RIB 27 PAINT PEEL OFF ON SOME FASTENER","WSPT","WSPT","4"
"ARMCAP LH F/O SEAT BROKEN","WSSS","WSSS","5"
"CYLINDER GAS OF 3RD OCCUPANT WEAK","WSSS","WSSS","5"
"FITTING TABLE SCREW GALLEY 6 DIRTY","WSCB","WSCB","9"
"RH BOGIE BEAM MLG RUBBER CLAMP FOUND BRO","AP","AP","0"
"NLG DOOR BYPASS VALVE FOUND LEAK","AP","AP","0"
"LH MLG DOOR STOPPER BRACKET NO.2 FOUND T","STR","STR","3"
"LH WING ROOT LWR PANEL ERODED","WSPT,WSSR","EA","1"
"PIN UPPER TOILET SEAT DISPOSAL NOT INSTA","CBN","CBN","2"
"LAVATORY E DOOR OUTSIDE LAMINATE FOUND S","CBN,WSCB","CBN","2"
"ENG#1 L/H C-DUCT LATCH CLOSING SEQUENCE","WSPT","WSPT","4"
"REF PFR ATA 232834 CLASS 1 SDU1(5RV1) SO","EA","EA","1"
"BUMPER DOOR LAVATORY NOT INSTALL QTY 6EA","CBN","CBN","2"
"BELLY FAIRING 191RB PAINT EROSION AT FWD","WSPT","WSPT","4"
"FOUND AFT ADF ANTENNA PAINT PEEL OFF","EA,STR","EA","1"
"COVER ASSIST HANDLE PAINT PEEL OFF AT LA","WSSS","WSSS","5"
"ENG#2 EDP GREEN SYSTEM WAS LEAK","AP","AP","0"
"PLACARD VACANT LAVATORY BROKE POS.L62,54","CBN,WSPT","CBN","2"
"LH ENG ACAC EXHAUST DUCT P/N 740-0361-50","AP","AP","0"
"AFT CARGO FLOOR PANEL 151 QF DELAMINATIO","AP,WSPT,WSST","AP","0"
"LH WING FLAP TRACK #3 FIX CANOE FOUND ER","AP,WSPT,WSST","AP","0"
"CLAMP BLOCK HYD LINE OF MANIFOLD BRK G N","AP","AP","0"
"WASHER AND SCREW SCUFFPLATE CORROSION *E","CBN","CBN","2"
"L/H WING FLAP TRACK FAIRING NO#3 STATIC","EA","EA","1"
"AFT CARGO COMP FLOOR BEAM FR 60 FOUND CO","STR,WSPT","STR","3"
"L/H FLOOD LT PANEL KNOB PAINT PEEL OFF","EA,WSPT","EA","1"
"ADIRS CNTRL PANEL KNOB PAINT PEEL OFF","EA,WSPT","EA","1"
"L/H EFIS DMC CNTRL PANEL KNOB PAINT PEEL","EA,WSPT","EA","1"
"AFT CARGO COMP FLOOR BEAM FR 62 FOUND CO","STR,WSPT","STR","3"
"BLANK PANEL CRACK","EA","EA","1"
"RH WING WATER DRAIN VALVE FOUND LEAK","AP","AP","0"
"SEALANT OF ALL LAVATORY NTF DELAMINATE","NA","NA","8"
"PYLON 2 AFT PICK UP BEARING NEED RESEAL","STR","STR","3"
"COVER ASSIST HANDLE LOOSE DUE TO LOCK BR","CBN","CBN","2"
"STRIP INFO LAVATORY L54 BROKE","CBN","CBN","2"
"FWD CARGO DOOR LINING PANEL CRACK AT SEV","AP,WSPT,WSST","AP","0"
"LH MLG WW REAR SPAR BRACKET CRACK","AP","AP","0"
"MLG WHEEL BRAKE FITTING #8 FOUND LEAK","AP","AP","0"
"GREEN BREAKE MANIFOLD (5105 JM) FOUND BL","AP","AP","0"
"LH WING ENGINE MOVABLE FAIRING LEAD BOND","EA","EA","1"
"(LESSOR FINDING) Capts L/H foot rest not","CBN","CBN","2"
"LH SLAT NO 5 O/B SEAL HAS BROKEN","AP","AP","0"
"CLIP FOR INSTALLATION PAX WINDOW WERE MI","CBN","CBN","2"
"(LESSOR FINDING) Third occupants seat as","WSSE,WSSS","WSSE","9"
"LOWER DOORWAY DOOR L1 NEED PAINT TOUCHUP","WSCN,WSSE,WSSS","WSCN","9"
"DOOR HINGE COVER CRACK POST DOOR L2","WSCN,WSSE,WSSS","WSCN","9"
"FOUND HOSE COVER ELBOW HAS TEAR OFF AT E","AP","AP","0"
"(LESSOR FINDING) Pax Seats L/H Row 23 B arm rest end cap cracked - replace","WSSE","WSSE","9"
"(LESSOR FINDING) Pax Seats L/H Row 25 C aisle arm rest loose / broken- repair /replace","WSSE","WSSE","9"
"(LESSOR FINDING) Pax Seats L/H Row 25 A","WSSE","WSSE","9"
"DURING C CHECK AT GAT, HYDERABAD, OBSERVED DENT ON LH WING OUTBOARD FLAPTRAILINGEDGE. (REFF DB #51)","WSNC,WSPT,WSSR","WSSR","9"
"(LESSOR FINDING) Pax Seats R/H Row 17 F","WSSE","WSSE","9"
"(LESSOR FINDING) Pax Seats R/H Row 18 F","WSSE","WSSE","9"
"LH WING SLAT #1 I/B BREATHER SEAL TEAR O","AP","AP","0"
"AFT CARGO DOOR LATCHING HANDLE SCRATCH","STR,WSNC,WSPT","STR","3"
"(LESSOR FINDING) NLG L/H and R/H forward door has evidence of erosion onleadingedge","WSPT,WSSR","WSPT","4"
"(LESSOR FINDING) NO.1 ENG NOTE ONLY NORD","NA","NA","8"
"(LESSOR FINDING) No.2 Eng Exhaust nozzle","WSSR","WSSR","9"
"(LESSOR FINDING) Aft cargo 151 EW delaminated beyond repair also has a non standard existing repair- replace panel","AP,WSPT,WSSR","AP","0"
"PANEL 198 SR NEED REPAINT","WSPT","WSPT","4"
"LAMPS ON 108VU NOT ILLUMINATE","EA","EA","1"
"LH WING TANK PANEL RIB 17 TO RIB 32 GASK","AP,STR","AP","0"
"LH WING TANK PANEL RIB 1 TO RIB 8 SEAL B","AP,STR","AP","0"
"ENG #2 THC PN : 397B030000 TAKEN FOR PK - GPS","AP,Repair Eng/APU Material Painting,STR","AP","0"
"Insulation blankets aft of FR 34 are in","AP","AP","0"
"LESSOR FINDING - FASTENER , PIN, PIN RET","CBN","CBN","2"
"THE I/B AFT SEAL ON FLAP FAIRING 533CB I","AP,STR","AP","0"
"RUDDER TIP LH SIDE BULGE AT FWD END AROU","AP,WSPT,WSSR","AP","0"
"Sealant on the fasteners and bonding lea","EA,STR","EA","1"
"LESSOR FINDING - FASTENER ON THE LOWER T","CBN","CBN","2"
"AFT CARGO THE CTR BEAM AT STR 44 BETWEEN","STR,WSNC","STR","3"
"LH THS ELEVATOR POSITION TRANSDUCER UNIT","AP","AP","0"
"LH ENGINE PYLON PANEL 413DL THERE IS A L","AP,WSST","AP","0"
"LH WING - THE RUB PLATE ON THE OUTBOARD","WSPT,WSSR","WSPT","4"
"LH ENGINE AND PYLON - PANEL 471 AR BOTH","AP","AP","0"
"RH ENG O/B T/R THE LOWER AFT OTBD SIDE S","AP","AP","0"
"RH WING RH SLAT #2 -THE INBD EDGE SEAL O","AP","AP","0"
"LESSOR FINDING - THE SMALL COVER PLATE A","CBN","CBN","2"
"RH PYLON THE AFT CROSS OVER BEAM PYLON L","AP,WSST","AP","0"
"ENG#2 ABRADABLE SHROUD ERRODED","WSSR","WSSR","9"
"LH AND RH NLG DOOR L/E SURFACE ERRODED","WSPT,WSSR","WSPT","4"
"ALL PLACARD AT 195BB PANEL BROKEN, TO BE","WSPT","WSPT","4"
"LOWER BELLY FAIRING PAINT PEEL OFF ON SE","WSPT","WSPT","4"
"FWD AND AFT CARGO DOOR PLACARD ""HYDRAULI","WSPT","WSPT","4"
"BILGE DRAIN STA 500C CORROSION","AP,STR,WSNC,WSPT","AP","0"
"PLACARD ""WASTE"" AND "" NO CIGARETTE DISPO","CBN,WSPT","CBN","2"
"THIRD OCCUPANT SEAT PAINT PEEL OFF NEED","WSSS","WSSS","5"
"TUBE AT RH ACM HAS TORN AND BLANKING DUC","EA","EA","1"
"MAP LIGHT CONTROL PANEL (CAPTAIN) TAKEN","EA","EA","1"
"AFT CARGO SIDE WALL 161 CW PUNCTURE","AP,WSPT,WSSR","AP","0"
"ALL DOOR ANTI SLIP PAINT DISCOLOURATION","WSPT","WSPT","4"
"ENG #1 I/B AND O/B T/R THERMAL BLANKET M","WSSR,WSST","WSSR","9"
"RH PYLON MOVEABLE FAIRING ROD HAS EXCESS","AP,WSST","AP","0"
"LH ELEVATOR RIB 10 AREA FOUND WATER INGRESS AT UPPER SURFACE SCREW NO.38","WSPT,WSST","WSPT","4"
"MID CABIN FR 32 - 33 -Y1959 SEAT TRACK CORROSION","STR","STR","3"
"RH WING SLIDING UNION CONNECTION LEAK 2EA FIN NUMBER 5170JM109","AP","AP","0"
"ALL PLACARD OF ALL ATTD SEATS WERE DISCO","CBN,WSPT","CBN","2"
"FWD BELLY FAIRING PANEL 191AB 24 EA SCREWS AND WASHERS DAMAGE","AP","AP","0"
"LH WING TIP LEADING EDGE PAINT PEEL OFF","WSPT","WSPT","4"
"LUGGAGE BIN DIVIDER ABOVE SEAT 12DEF FOU","WSCN","WSCN","9"
"RH WING I/B L/E TOP SKIN OVERHANG UPPER SURFACE FORWARD OF FRONT SPAR PAINT PEELOFF ON SOME FASTENER","WSPT","WSPT","4"
"WALL COMPARTMENT GALLEY 6 WAS BROKE","WSCB","WSCB","9"
"EXTRUSION GALLEY 6 MISSING","WSCB","WSCB","9"
